为了,"['for', 'for the sake of']","['prep.', 'misc.']"
更好,"['better', 'so much the better']","['adv.', 'misc.']"
的,"['of', 'pure', 'target']","['prep.', 'adj.', 'vt.']"
锐度,['acutance'],['n.']
但是,"['but', 'yet']","['conj.', 'adv.']"
附带,"['cum', 'parenthesis', 'attach', 'obiter']","['prep.', 'n.', 'vt.', 'adv.']"
会,"['be able to', 'meet', 'understand']","['v.', 'n.', 'vt.']"
颗粒,['particle'],['n.']
度,"['limit', 'spend']","['n.', 'vt.']"
可以,['may'],['aux.']
使用,"['use', 'employ']","['n.', 'vt.']"
这个,['this'],['pron.']
显影剂,"['eikonogen', 'photographic developer']","['n.', 'misc.']"
稀释液,['diluent'],['n.']
他,['he'],['pron.']
还,['repay'],['vi.']
把,"['control', 'a handful of']","['n.', 'misc.']"
宣扬,"['publicity', 'advocate']","['n.', 'vt.']"
自己,['oneself'],['pron.']
思想,['thought'],['n.']
所谓,"['same', 'what is called']","['adj.', 'misc.']"
绿皮书,['Green Book'],['Green Book\n']
称作,['be called'],['be called\n ;\n']
新,['new'],['adj.']
福音书,"['evangel', 'the gospel']","['n.', 'misc.']"
微风,"['breeze', 'gentle breeze']","['n.', 'misc.']"
推着,['push'],['push\n']
我,['I'],['pron.']
去,"['go', 'leave', 'apart from']","['n.', 'vt.', 'misc.']"
爱抚,['show tender care for'],['show tender care for\n']
它,['it'],['pron.']
长耳朵,['long ears'],['long ears\n']
它们,['they'],['pron.']
先烈,['martyr'],['vt.']
们,['plural marker for pronouns and a few animate nouns'],['plural marker for pronouns and a few animate nouns\n']
鲜血,['blood'],['n.']
是,"['are', 'right', 'yes']","['v.', 'adj.', 'adv.']"
了,"['end', 'know', 'complete', 'finish']","['n.', 'vi.', 'adj.', 'vt.']"
最后,"['finally', 'in the end']","['adv.', 'misc.']"
在,"['in', 'exist', 'depend on']","['prep.', 'vi.', 'misc.']"
月,"['month', 'the moon']","['n.', 'misc.']"
日,"['sun', 'day']","['n.', 'adj.']"
湖人,['Lakers'],['n.']
将,"['general', 'will', 'be about to']","['n.', 'aux.', 'misc.']"
前往,['leave for'],['leave for\n']
汽车城,"['Motown', 'Motor City']","['n.', 'misc.']"
底特律,['Detroit'],['n.']
挑战,['challenge'],['n.']
活塞队,['Detroit Pistons'],['Detroit Pistons\n']
活塞,['piston'],['n.']
近来,['recently'],['adv.']
东部,"['east', 'the eastern part']","['n.', 'misc.']"
排名,['ranking'],['adj.']
第二,"['second', 'number two']","['n.', 'adj.']"
真是,"['certainly', 'as ever is']","['adv.', 'misc.']"
天造地设,"['heavenly', 'created by nature']","['adj.', 'misc.']"
一对,"['twain', 'a pair']","['n.', 'misc.']"
父亲,['father'],['n.']
喜欢,"['like', 'be fond of']","['vt.', 'misc.']"
结交,"['associate with', 'make friends with']","['v.', 'misc.']"
名人,"['celebrity', 'famous person']","['n.', 'misc.']"
酷爱,['ardently love'],['ardently love\n ;\n']
金钱,['money'],['n.']
亚历山大,['Alexander'],['n.']
婚礼,['wedding'],['n.']
上,"['good', 'up', 'get on']","['adj.', 'adv.', 'misc.']"
讥讽,"['ridicule', 'throw out innuendoes against']","['vt.', 'misc.']"
道,['way'],['n.']
和,"['sum', 'and', 'harmonious', 'draw']","['n.', 'conj.', 'adj.', 'vt.']"
克里斯蒂娜,['Christina'],['n.']
从未,"['never', 'never a']","['adv.', 'misc.']"
同,"['with', 'together', 'be the same as']","['prep.', 'adv.', 'misc.']"
他们,['they'],['pron.']
继母,"['stepmother', 'stepmonther']","['n.', 'misc.']"
和睦相处,['get along'],['get along\n ;\n']
过,"['pass', 'go beyond', 'cross', 'excessive', 'spend (time)']","['n.', 'v.', 'vi.', 'adj.', 'misc.']"
年,"['year', 'annual', 'new year']","['n.', 'adj.', 'misc.']"
沃尔玛,['Wal-Mart'],['n.']
推荐,['recommend'],['vt.']
引擎,['engine'],['n.']
竟,['unexpectedly'],['adv.']
人猿,['man ape'],['man ape\n ;\n']
星球,"['star', 'heavenly body']","['n.', 'misc.']"
与,"['with', 'and', 'give', 'take part in']","['prep.', 'conj.', 'vt.', 'misc.']"
马丁,['Martin (Pierre-Emile'],['Martin (Pierre-Emile\n ;\n']
路德,['luther'],['n.']
金,"['gold', 'golden', 'metals']","['n.', 'adj.', 'misc.']"
记录片,"['documentary', 'documentary film']","['adj.', 'misc.']"
配成,['match'],['match\n']
为此,['for this purpose'],['for this purpose\n']
遭到,"['suffer', 'meet with']","['vt.', 'misc.']"
种族歧视,"['racism', 'racial discrimination']","['n.', 'misc.']"
指控,"['charge', 'accuse']","['n.', 'vt.']"
通过,"['via', 'transit', 'pass', 'by means of']","['prep.', 'n.', 'vt.', 'misc.']"
电子探针,['electronic probe'],['electronic probe\n']
显微,['microscopy'],['n.']
分析,['analyze'],['vt.']
确定,"['determine', 'confirm', 'make sure']","['vi.', 'vt.', 'misc.']"
贫化,['dilution'],['n.']
渣,"['residue', 'broken bits']","['n.', 'misc.']"
中,"['China', 'centre', 'middle']","['n.', 'vi.', 'adj.']"
主要,"['main', 'principal']","['n.', 'adj.']"
铜,['copper'],['n.']
冰铜,['matte'],['n.']
相,"['appearance', 'mutually', 'look at and appraise']","['n.', 'adv.', 'misc.']"
吉姆,['Jim'],['n.']
靠,['depend on'],['depend on\n']
给,['give'],['vt.']
人,"['person', 'human being']","['n.', 'misc.']"
擦皮鞋,['shoeshine'],['n.']
为生,['make a living'],['make a living\n']
用,"['use', 'apply']","['n.', 'vt.']"
甘氨酸,['glycine'],['n.']
模拟,"['simulation', 'simulate']","['n.', 'vt.']"
胶原,['collagen'],['n.']
研究,['study'],['n.']
间苯二酚,['resorcinol'],['n.']
恶唑烷,['oxazolidine'],['oxazolidine\n']
基质,"['matrix', 'ground substance']","['n.', 'misc.']"
形成,"['take shape', 'formation', 'form']","['v.', 'n.', 'vi.']"
以及,"['and', 'as well as']","['conj.', 'misc.']"
之间,"['among', 'inter-', 'whiles']","['prep.', 'pref.', 'conj.']"
反应,"['responding', 'reaction']","['v.', 'n.']"
特性,"['character', 'characteristic']","['n.', 'adj.']"
免费,['free of charge'],['free of charge\n']
市内,"['city', 'urban']","['n.', 'adj.']"
提供,['offer'],['vt.']
